EffectKey;EffectCode;NObs
2001/autumn;1;30
2001/spring;3;31
2001/summer;4;32
2001/winter;6;24
2002/autumn;23;183
2002/spring;16;71
2002/summer;5;131
2002/winter;20;68
2003/autumn;34;793
2003/spring;7;479
2003/summer;33;726
2003/winter;42;471
2004/autumn;39;1043
2004/spring;47;762
2004/summer;44;987
2004/winter;21;744
2005/autumn;41;1455
2005/spring;46;938
2005/summer;49;1178
2005/winter;35;977
2006/autumn;50;2621
2006/spring;9;1824
2006/summer;45;2613
2006/winter;8;1998
2007/autumn;15;4092
2007/spring;40;3274
2007/summer;52;3692
2007/winter;36;3131
2008/autumn;63;2912
2008/spring;10;3962
2008/summer;53;4210
2008/winter;18;4666
2009/autumn;57;6020
2009/spring;11;5578
2009/summer;2;5891
2009/winter;37;5677
2010/autumn;51;5854
2010/spring;73;6038
2010/summer;74;6471
2010/winter;71;5903
2011/autumn;65;6074
2011/spring;75;6597
2011/summer;70;6620
2011/winter;66;6226
2012/autumn;56;6206
2012/spring;76;6575
2012/summer;69;6796
2012/winter;72;6696
2013/autumn;64;6302
2013/spring;67;6910
2013/summer;68;6736
2013/winter;24;6819
2014/autumn;26;6734
2014/spring;13;7208
2014/summer;25;7123
2014/winter;12;6704
2015/autumn;28;6549
2015/spring;27;7473
2015/summer;19;7271
2015/winter;14;6745
2016/autumn;32;6569
2016/spring;30;7624
2016/summer;31;7170
2016/winter;29;6920
2017/autumn;60;6657
2017/spring;43;7149
2017/summer;59;6948
2017/winter;58;7277
2018/autumn;17;6878
2018/spring;62;7417
2018/summer;48;7632
2018/winter;61;7801
2019/autumn;55;7079
2019/spring;54;7672
2019/summer;38;7598
2019/winter;22;7101
